TRN#_(INTERNAL);PER_FLU_RECIBO;PER_FLU_PAGO;FINALIDAD;DELIVERY/SETTLEMENT SWAPS;HEDGE LINK;SOSTENIBILIDAD;GAMMA;VEGA;DELTA
48541901;;;NE;D;;;0.0000;0.0000;8803211620.0000
48542251;;;NE;D;;;0.0000;0.0000;287877198.0000
48562557;;;NE;C;;;0.0000;0.0000;97632075088.0000
48562596;;;NE;C;;;0.0000;0.0000;97286651554.0000
48617859;;;NE;C;;;0.0000;0.0000;48238361422.0000
48617862;;;NE;C;;;0.0000;0.0000;48148849340.0000
48625902;;;NE;D;;;0.0000;0.0000;285797992.0000
47934753;;;NE;C;;;0.0000;0.0000;-3567631293.0000
47934754;;;NE;C;;;0.0000;0.0000;-3175729698.0000
47936439;;;NE;C;;;0.0000;0.0000;-2725500049.0000
47941385;;;NE;C;;;0.0000;0.0000;2927807026.0000
47941386;;;NE;C;;;0.0000;0.0000;-44791098251.0000
47941387;;;NE;D;;;0.0000;0.0000;-3571177600.0000
47941397;;;NE;C;;;0.0000;0.0000;851609164.0000
47941400;;;NE;D;;;0.0000;0.0000;-23933745502.0000
47941401;;;NE;C;;;0.0000;0.0000;163646576.0000
47941402;;;NE;D;;;0.0000;0.0000;-37407928897.0000
47941403;;;NE;C;;;0.0000;0.0000;1982150046.0000
47941404;;;NE;D;;;0.0000;0.0000;-65736507.0000
47941406;;;NE;D;;;0.0000;0.0000;-98317390910.0000
47941407;;;NE;D;;;0.0000;0.0000;-65128249.0000
47941408;;;NE;D;;;0.0000;0.0000;-5852187648.0000
47941409;;;NE;D;;;0.0000;0.0000;-248971885010.0000
47941412;;;NE;C;;;0.0000;0.0000;2064395478.0000
47941414;;;NE;C;;;0.0000;0.0000;1922366545.0000
47941420;;;NE;D;;;0.0000;0.0000;-39275105.0000
47941422;;;NE;C;;;0.0000;0.0000;609683597.0000
47941423;;;NE;C;;;0.0000;0.0000;-11083385736.0000
47941424;;;NE;C;;;0.0000;0.0000;-22211934948.0000
47941425;;;NE;C;;;0.0000;0.0000;-12057464680.0000
47941426;;;NE;C;;;0.0000;0.0000;-11074825610.0000
47941428;;;NE;C;;;0.0000;0.0000;-115490411558.0000
47941429;;;NE;C;;;0.0000;0.0000;-38916474375.0000
47941430;;;NE;C;;;0.0000;0.0000;-11145398313.0000
47941431;;;NE;C;;;0.0000;0.0000;-89940715102.0000
47941432;;;NE;D;;;0.0000;0.0000;-22736324874.0000
47941433;;;NE;D;;;0.0000;0.0000;-24357777377.0000
47941434;;;NE;D;;;0.0000;0.0000;-21292024229.0000
47941435;;;NE;D;;;0.0000;0.0000;-4006041627.0000
47941436;;;NE;C;;;0.0000;0.0000;-11809196322.0000
47941437;;;NE;C;;;0.0000;0.0000;-19586112513.0000
47941439;;;NE;C;;;0.0000;0.0000;-11277885650.0000
47941440;;;NE;C;;;0.0000;0.0000;-11286070882.0000
47941441;;;NE;C;;;0.0000;0.0000;-11391030307.0000
47941446;;;NE;C;;;0.0000;0.0000;-11211268576.0000
47941447;;;NE;C;;;0.0000;0.0000;-18391439897.0000
47941448;;;NE;C;;;0.0000;0.0000;-11216709619.0000
47941449;;;NE;C;;;0.0000;0.0000;4342948417.0000
47941450;;;NE;C;;;0.0000;0.0000;-40589495512.0000
47941451;;;NE;C;;;0.0000;0.0000;-978473554.0000
47941452;;;NE;C;;;0.0000;0.0000;-999782093.0000
47941453;;;NE;C;;;0.0000;0.0000;-20639839759.0000
47941457;;;NE;C;;;0.0000;0.0000;-39527076660.0000
47941458;;;NE;C;;;0.0000;0.0000;-11897800963.0000
47941459;;;NE;C;;;0.0000;0.0000;-11933997466.0000
47941460;;;NE;C;;;0.0000;0.0000;-11931234487.0000
47941461;;;NE;C;;;0.0000;0.0000;-19909566879.0000
47941462;;;NE;C;;;0.0000;0.0000;-57119814072.0000
47941463;;;NE;C;;;0.0000;0.0000;-95376406630.0000
47941464;;;NE;C;;;0.0000;0.0000;-92414211785.0000
47941465;;;NE;D;;;0.0000;0.0000;-126473069898.0000
